path,size_bytes,sha256
.gitignore,178,0ed08054ac37bd0a7fb94b3be71922553e4dd77ba536b449bf5365940d890027
Dockerfile,302,6c07c99c31737251ddac9e3d4b2e213f3bb94e9fdbfbd8b18bab849e266608db
LICENSE,1071,1d6864a7c716ba708bdeaa4cbc9e72bb6cf82f4c753285db278025713a17bb13
README.md,7079,c9f2ad8ef8ca39c4ee77781717e844a5aa5fd57714df71f38157657daab27c08
config/config.yaml,426,855861ff252c97573585b7fbbc94550d09a84ed4d4da794038758c3404dfe0c2
config/datasets.yaml,2582,2c31f6035fae587b70e5ce6341801a0e5b84050e762dbd060a05d830f5d4ef85
data/metadata/core_modules.yaml,1116,dd2a702187cfc1ca5947dc492e81a5fc66b6ec87582c127d2a6da30bd376c3dc
data/metadata/dataset_inventory.tsv,1891,06e22e0feb737541475cb112174ce181b617b079a344ee4e78eeed5a2aab516d
data/processed/demo_t2d_islet_cells.csv,388086,293f9de97d0578ce093bfdcf9001d89e5b6e9a71de35a0da6e1634bcdb802336
docs/dataset_notes.md,2085,abf23c76cfd8c742ffee3792e7a2674403df2fdd847ae32dc663022f491032c9
docs/methodological_caveats.md,1436,b8deb681c6106a23ce5dfb82a9f2e3bab286d1b2661338fb6197705b436e0274
docs/real_data_harmonization_template.md,1040,b2db4558ab7d51a6d638be9ada6228bf97fdaffd5f433a51da7a7e07c71fea0c
docs/source_citations.md,944,a53b78cc1cdceea28d79f4851aef7cd04a629c5e37089533d366a25e4bd4ad97
environment.yml,287,7832aaa5d0a39eeba69fe7025da2e95d4256466a2eb894071b367cf12a6d7209
manuscript/figure_captions.md,2122,ad391091b1fa3f405381c841ad0bcbff7dd8b62788997593abf7be091fbf4561
manuscript/outline.md,2356,33eb81f25f1c53945531c94bdbbfb1e2e575bc900cb891f0368bb23bcaaabdcd
notebooks/README.md,678,0f99c779f5e32f7cf444171d8f84ebbd197a22105eb95b959d9a7e4ca867c0cc
pyproject.toml,572,1010f595c6a035faf91af77021c560a6059cc8db478126458707b0328bcff6e2
requirements.txt,138,fe1a94b778b2f52b9e87e8f738c2ccb0474f59cdfc1b932f03f9f40afdb5dbc2
results/README.md,72,5fcfd0b62467806ce9cd5cac7f2d7bf385f75c3d9b1190f22c850fed0cd3e199
results/demo/AUDIT_REPORT.md,475,c99460aee10a87d4e2084c5f05b32fe393e8be61381b15c3be5f952a86fe0ed8
results/demo/REPOSITORY_MANIFEST.csv,555,59f8672f565e63a14ae315b1de77fa4d68a9976a34dc018da95846826de03e6f
results/demo/figures/figure_01_landscape.png,685861,5757a172526ac0ee5863f366c186599d691750a1e06820a0ccc1fbba7d093f55
results/demo/figures/figure_02_flux_network.png,240638,87557d062571fe6f401254e03cf0fef900d89420d8f9757909bba5b66a44d5fe
results/demo/figures/figure_03_donor_statistics.png,124019,8c108378e36a601b602b2c749e48ac315a948f53ab9f5ef53b490b4fe0932bb0
results/demo/tables/cell_latent_coordinates.csv,280929,d72ab7b41b564ed9d5c252b4ca3bf306952c24ba06371f1650d6e1593435275d
results/demo/tables/cell_module_scores.csv,137753,9ff15922bac801c4492d338d20148c18076fa8fb7ced7b0b4d5f46f94203bbd0
results/demo/tables/cell_state_scores.csv,292424,a1f62371b4b7aa0c2fdd2c2a742e0cd3f2812e7d930e1d6a6b20e98372c82631
results/demo/tables/condition_comparison.csv,877,e23c2aaec530ca17a6835ce13a69cc1ae9e10801193063c2aad75738878062b8
results/demo/tables/condition_level_thermo.csv,141,1e5f8f4f0a510a229cc1b12babf7baaaacff5833cfb3cbc00ead0740c0babbe6
results/demo/tables/donor_level_thermo.csv,1738,095fe948d95d8f679f7a73b7b67d3ecda9bb1a928ef0a688f8da77ff350ee7ee
results/demo/tables/edge_flux_table.csv,12456,4691463c970348bb5afb7c5d510f70055858c3bed701e2529eee01a1d5afa2d6
results/demo/tables/global_thermo.csv,46,504e7a88d5284c4bae57f431aa6bf66dbf7fb6599b195a67108ee17d771ba8b2
results/demo/tables/microstate_table.csv,3444,bafbbe34d346ec3890e0735cbb835d5afd837dd57b7ac992ebd72f640e27dbcf
results/demo/tables/stationary_distribution.csv,600,61043cec1ef431375f9c1c3aa19be2367ce158b06848d4f85fc00974be352b83
results/demo/tables/transition_matrix.csv,14400,942b539ed88fad5255cc12dcca3ca63c38282cd69c78a8ef105801f2664f85dd
scripts/00_make_demo_data.py,2166,9a908ad608f3307c54a1969d8b4c83f457e5ffeeafce17d4ff4fa870761ce9db
scripts/01_standardize_h5ad.py,1754,1021c8bf4111ec9bd73cffc5ed7e6db59252e9d7f618245ccf8facb933a59b62
scripts/02_run_landscape_flux.py,4767,19762a3bcb719bdc57eb6704f33a0c2d839bd241c736a23b455822b1f5e489b6
scripts/03_make_figures.py,1252,3d0dac93883e5d28de431d20b257f03864997ddd917c6b6d6550e93f653afb11
scripts/04_audit_outputs.py,1847,ffdb5b3cb251fd8c7785787dfcf15b8b4229d3af8768deec08d947f0c443742b
scripts/05_permutation_null.py,1637,b870589461a7d2b99b2e7879135e8ddd271aaae149df0709b24cdd3a7805e9df
scripts/run_demo.sh,415,459260ee295873b07c4bcdf4e17d6ea91c0534cd88d91896e7cc4687c1ae1218
src/scthermoflux/__init__.py,108,af8326f7015f1f710f12f93b046b5e0bd48923b74224d3bff772f7a109f162f2
src/scthermoflux/__pycache__/__init__.cpython-313.pyc,281,a7c66a3206e7be914b1c5977d169a4c7b7dfbabb0794334e4d208e8fa61db9da
src/scthermoflux/__pycache__/dataio.cpython-313.pyc,5303,f01e0fd50addcfa9bd93b411db0dddd29b58a8a3187315861ddff7e7a7583fff
src/scthermoflux/__pycache__/landscape.cpython-313.pyc,3961,2246c374afebe166592ae38b9593eaa7b0a63176f5ba4427e8346584aff047f8
src/scthermoflux/__pycache__/modules.cpython-313.pyc,3000,c1572eee02ae8c7eba615f326b882a9991c7c21e17104cabaa5da0332d852f06
src/scthermoflux/__pycache__/plotting.cpython-313.pyc,6010,02d9e5d6e8b210fc2348bbb62f66e50c11170ee2d8b9c9c50b95cd94429c8b48
src/scthermoflux/__pycache__/preprocess.cpython-313.pyc,2392,66a08c55bad2241436235121b84097aa026aa8697db35a1508d52f2a8c4789d9
src/scthermoflux/__pycache__/stats.cpython-313.pyc,4120,dfa48c5f220da263976dad3cb7a3a5ade71e7e2266cc9846c7cc8f33010dfd1a
src/scthermoflux/__pycache__/thermo.cpython-313.pyc,3667,a92bd55df11140ffed71d32321c795cac0a30332a25a2a923e20629fd353b980
src/scthermoflux/__pycache__/transitions.cpython-313.pyc,3437,0eece44c694c17679b7722088c4beb09a68264c897a012d3920293201a84d13c
src/scthermoflux/__pycache__/utils.cpython-313.pyc,3473,997eac241c53b3c9ddd70a033be2afc1af7f68ba412c84658240420f323af8dc
src/scthermoflux/dataio.py,2823,1cafb26fbd8eb9056b98fc1b68bc3fe6578bf1c235c05279f3f5d5134b63bf8b
src/scthermoflux/landscape.py,2124,a37c470e2527af715c47229ce9bf846f29acfbfa76cf1a9180d37ab499451e0d
src/scthermoflux/modules.py,1519,cb1f34eb795ae43ba6a68f5c938997e5042e8f1db5a7f6a1f620d51e79a3ccdd
src/scthermoflux/plotting.py,3270,04607440040f666ec3d731819d51eabfdc7fe5a63d21d71e9643f4f4e18e6af6
src/scthermoflux/preprocess.py,1329,973d6130b2b5671232b66658d38823f1fb3f844864f813b01558392b92deefec
src/scthermoflux/stats.py,2449,9ebe5a26391effe672b474f76dc8e249bf0cd4db744616652607d4545857286c
src/scthermoflux/thermo.py,2272,b848fe3061fc5ab64fda86190556fd528dff981d319a6c8918822b600bc65261
src/scthermoflux/transitions.py,2023,26f597e1877908c8a113c3240e9e988f229dccb839fa0286d453bbad6d7a1d8b
src/scthermoflux/utils.py,1630,460d4fb2b227d63ad1938c7344298bb91e8dc819679383feaf4f62347e85e7e0
