cell_id,dataset,donor_id,condition,cell_type,BetaIdentitySecretion,ImmuneStress,ERStress_UPR,OxidativePhosphorylation,DedifferentiationStress,DiseaseAxis,microstate,quasi_potential,latent_1,latent_2
ND_donor_01_cell_000,demo,ND_donor_01,ND,beta,6.290044929109678,3.729040151316122,2.5333001076194583,4.898877684627078,0.0,-1.502705678958458,0,0.8309376705351967,1.9954246602527528,-0.23150490289477546
ND_donor_01_cell_001,demo,ND_donor_01,ND,beta,6.4486788672586455,3.027787128204379,2.19757914702465,5.0436726443031406,0.0,-2.488593049525769,7,0.7162350131650248,3.5579584986401334,0.4645765113664143
ND_donor_01_cell_002,demo,ND_donor_01,ND,beta,6.2152384476147216,4.125728623714777,4.239525849968026,4.524147819098331,0.0,0.04228972127170094,0,2.1900751855954477,0.42739218043114136,-0.35738360123367013
ND_donor_01_cell_003,demo,ND_donor_01,ND,beta,6.216891784887741,3.086581729541794,3.4825999703362336,4.712423881494103,0.0,-1.168262213786361,10,0.6702942320208933,1.147224858026624,0.41923570703680424
ND_donor_01_cell_004,demo,ND_donor_01,ND,beta,6.359021230729666,3.4905248330331644,2.701697004784336,4.59292820306693,0.0,-1.6762652914266378,0,0.39145294931102903,1.9483764353924287,0.2092658248198124
ND_donor_01_cell_005,demo,ND_donor_01,ND,beta,6.332288940392018,2.610407121043542,3.228407411968006,4.641199172262229,0.0,-1.8692063232763934,3,0.19043066935510566,2.283275855232097,0.4756582029473867
ND_donor_01_cell_006,demo,ND_donor_01,ND,beta,6.2348254646677725,3.8176161758170517,2.9086204510440536,4.970405979463767,0.0,-1.0915580046446378,20,1.1676263628066659,1.2815896412116494,1.613399807810217
ND_donor_01_cell_007,demo,ND_donor_01,ND,beta,5.896331291868827,4.460596499449264,4.947828477565115,5.117327475228468,0.0,1.3213098899337992,8,0.9193542467001201,-1.3024673701045666,0.9351010342840069
ND_donor_01_cell_008,demo,ND_donor_01,ND,beta,6.6159135947614995,0.638401396739771,1.6540523541933996,4.634054953165123,0.0,-4.768195248789099,16,1.4883001489704908,5.745884941162397,-1.269201188431819
ND_donor_01_cell_009,demo,ND_donor_01,ND,beta,6.702505026422694,0.0,1.9420041071724587,4.563055446642673,0.0,-5.16359049010173,23,2.3574884494768265,7.167123388110595,-2.8107353307185274
ND_donor_01_cell_010,demo,ND_donor_01,ND,beta,6.68222208169509,2.0914736902328905,1.0457368451164453,4.458946001326999,0.0,-4.315125408763285,23,2.248174373953261,6.09778727568746,-2.83867064989184
ND_donor_01_cell_011,demo,ND_donor_01,ND,beta,6.513685137186949,1.4100001320801177,1.4100001320801177,4.320423752015144,0.0,-4.2251553544294715,16,1.6020335936046939,4.8617422993979025,-1.896977862128363
ND_donor_01_cell_012,demo,ND_donor_01,ND,beta,6.455945720251968,2.273192987737001,3.321651150799147,4.874569770484346,0.0,-2.2589537796456343,2,0.6273309707472841,3.273028589652791,0.46913502505704574
ND_donor_01_cell_013,demo,ND_donor_01,ND,beta,6.575371732463397,1.8601256041342478,1.0994178626429203,4.350847144285657,0.0,-4.2412490397699045,16,2.452786070556102,5.325506330460225,-2.573007059282776
ND_donor_01_cell_014,demo,ND_donor_01,ND,beta,6.356242566908165,2.769318349235602,2.1440847650968573,4.901767462332004,0.0,-2.5308960472386857,2,1.0425189768616399,3.0363259502111877,0.7854158649063803
ND_donor_01_cell_015,demo,ND_donor_01,ND,beta,6.31693470922599,3.262890062040762,2.7014061137044756,4.818403405723694,0.0,-1.7536175479315173,3,0.37228487428141754,2.0855259136306104,0.6362896195365128
ND_donor_01_cell_016,demo,ND_donor_01,ND,beta,6.559845564770605,1.0457368451164453,2.0914736902328905,4.478536673923194,0.0,-4.098877167795791,19,0.9786597734043507,4.461762501862002,-0.17621314844254166
ND_donor_01_cell_017,demo,ND_donor_01,ND,beta,6.029539730165025,3.777862638521762,4.575476453391626,4.980816243735723,0.0,0.3695912412837568,17,0.7562158504706931,-0.40427682402359233,0.9275909654667842
ND_donor_01_cell_018,demo,ND_donor_01,ND,beta,6.469049431085734,1.1369179422876998,1.2696315685648738,4.857647559889266,0.0,-4.422255124956479,16,1.3186306272127934,4.783544541708782,-0.34959527520713163
ND_donor_01_cell_019,demo,ND_donor_01,ND,beta,6.325105118513011,2.953779511289292,3.7494344446484975,4.900617612251865,0.0,-1.2759012135546115,6,0.30729764429666684,1.8785136356748156,0.31404737516812975
ND_donor_01_cell_020,demo,ND_donor_01,ND,beta,6.411282544140354,4.051735818618102,3.33372293076498,4.54333716143654,0.0,-0.9696820021639443,0,0.5112470486674221,1.748333020472035,0.1129684282625534
ND_donor_01_cell_021,demo,ND_donor_01,ND,beta,6.456178644466766,3.0156994479531356,2.7889638668580408,4.79676064603304,0.0,-2.1147354325415204,2,0.8772165802013703,3.0588350481131776,-0.23491927406611293
ND_donor_01_cell_022,demo,ND_donor_01,ND,beta,6.124228507838486,3.5320861986857253,4.3019877371535555,4.693059892232873,0.0,-0.1511886702294888,17,0.5611121796945868,0.23193523524080464,0.8644096382772349
ND_donor_01_cell_023,demo,ND_donor_01,ND,beta,6.098496395030036,3.5995639866903097,4.535240766113558,5.034496885468708,0.0,0.09712384381381511,21,0.6792210773828753,0.03352232819574496,0.6786625069960729
ND_donor_01_cell_024,demo,ND_donor_01,ND,beta,5.744386887688248,4.761820369910029,5.018803149531367,4.7435670360385025,0.0,1.8480119328166258,8,0.7066111015674323,-2.73302126693379,0.8993697686420365
ND_donor_01_cell_025,demo,ND_donor_01,ND,beta,6.196959908165056,3.9991880450941273,4.180178564392017,4.470178740928389,0.0,-0.049598749643410434,21,1.4050798706163752,0.2641247484106315,0.12044930990212359
ND_donor_01_cell_026,demo,ND_donor_01,ND,beta,6.458669882765963,3.5727643568607994,0.0,4.531983772654499,0.0,-3.6091906708257158,16,1.2587446818630292,4.128987550543208,-1.1005960407853759
ND_donor_01_cell_027,demo,ND_donor_01,ND,beta,5.922529068501854,4.787623811958957,4.607766337878178,5.20560702276385,0.0,1.2668898724344597,5,0.6919712510148637,-1.282240851013206,1.3290216185217307
ND_donor_01_cell_028,demo,ND_donor_01,ND,beta,6.222770121206899,4.050984959222121,4.2314380860954355,4.929637746251701,0.0,-0.027233838258563958,17,0.2654180611954544,0.5259176752931376,1.1355396331917005
ND_donor_01_cell_029,demo,ND_donor_01,ND,beta,6.5253272053234,2.877513999262375,1.1338882013387148,4.724337118583288,0.0,-3.440809756358362,7,1.0796971954137096,4.655607049679275,-1.3594127967201939
ND_donor_01_cell_030,demo,ND_donor_01,ND,beta,6.522348873594621,3.0516340549494148,2.02007610784425,4.568194927398755,0.0,-2.725054377800579,2,1.0821761325576542,3.900955716721481,-0.9383136869400333
ND_donor_01_cell_031,demo,ND_donor_01,ND,beta,6.0957379265102585,3.9774615257943373,4.566042292186493,5.010033130543969,0.0,0.37772741981900193,10,1.226029507376503,-0.44139271799230134,2.061967000628513
ND_donor_01_cell_032,demo,ND_donor_01,ND,beta,6.404146233024159,4.113579601416793,3.7194501476579647,4.833454393221757,0.0,-0.6569406690802957,3,0.26614127937889975,1.7666959981750974,0.4730336988620197
ND_donor_01_cell_033,demo,ND_donor_01,ND,beta,6.439327517176184,2.9758591022933634,3.645952423363975,4.744515362135326,0.0,-1.537688285339619,0,0.4359018732614883,2.2881303697466038,0.41924814396018983
ND_donor_01_cell_034,demo,ND_donor_01,ND,beta,6.5395047547453755,1.777114906510132,2.4043211683893135,4.702807127666457,0.0,-3.3591396062483647,7,0.7543077051443232,4.402435347223487,-0.398875345974578
ND_donor_01_cell_035,demo,ND_donor_01,ND,beta,6.256074929446609,2.3855462282808055,3.92303124443009,4.983147980908978,0.0,-1.4178063243078038,6,0.5251260971229863,1.918379865191053,1.0743121246598752
