from_microstate,to_microstate,net_current,forward_flow,reverse_flow,affinity,edge_entropy_production
18,8,0.0003247689775415975,0.0003247689775415975,0.0,19.598624652274218,0.006365025289540645
1,21,0.00031106221719877836,0.00031106221719877836,0.0,19.555503508651444,0.006082978279839607
14,17,0.00028987986556917487,0.00028987986556917487,0.0,19.484977141908487,0.005648302554514878
5,10,0.0001839066514859947,0.0001839066514859947,0.0,19.029938863395497,0.0034997323343502616
18,11,0.007022216217643103,0.02164184762297943,0.014619631405336328,0.3922635879707187,0.002754559729038853
2,20,0.000143616261763827,0.000143616261763827,0.0,18.782655458610527,0.0026974947629635837
11,10,0.0010305197479413344,0.0011388303607740358,0.00010831061283270143,2.3527538630477554,0.0024245593179159737
11,13,0.007088073371479153,0.02856361614908995,0.021475542777610795,0.28521900289865426,0.0020216532194857867
20,12,0.0022857999789472655,0.0039841155470858826,0.001698315568138617,0.8526784241644935,0.0019490523240039868
12,3,9.869234441627299e-05,9.869234441627299e-05,0.0,18.407517947356453,0.0018166811011092296
10,6,0.0011584162207091294,0.0014723249200881915,0.0003139086993790622,1.5454958288610186,0.0017903274371909045
11,1,0.004073229541829876,0.011737729331255017,0.007664499789425141,0.4262091314873455,0.00173604762537191
14,11,8.678128233387855e-05,8.678128233387855e-05,0.0,18.278901526585106,0.0015862665141317457
12,10,0.0026501148835741117,0.006024516218195435,0.0033744013346213237,0.5796192540313222,0.001536057611914531
22,8,0.0023343798912345603,0.005040619108794587,0.0027062392175600265,0.6219689849273019,0.0014519118913858648
12,8,0.003765123807383447,0.011966486411974323,0.008201362604590876,0.3778096318512396,0.0014225000395418777
14,22,0.0006405641381979788,0.0007337069243822272,9.314278618424844e-05,2.0639760028772467,0.0013221090095443726
17,12,0.0019626965515194225,0.0043296283718679265,0.002366931820348504,0.6038871859106545,0.00118524729729361
11,12,0.0028131870766739493,0.0082951622150235,0.0054819751383495515,0.4142070164207009,0.00116524182566239
17,1,0.00039778403669538754,0.00042358483664728494,2.5800799951897408e-05,2.7983482829599526,0.0011131382760754165
8,11,0.0047613032341707225,0.02311025974887428,0.018348956514703557,0.23070395668631358,0.001098451495106527
13,22,0.0029098650631199678,0.00969842923548455,0.006788564172364582,0.35672448075339047,0.0010380201037039022
9,11,0.00448323698990118,0.022365457991982765,0.017882221002081585,0.2237107355818514,0.0010029482447985582
5,9,0.0002012230946912577,0.00020364953198832926,2.4264372970715496e-06,4.429976080122092,0.0008914134962504143
11,22,0.0008773988435970779,0.0013875024422926184,0.0005101035986955405,1.000646764803819,0.000877966314288028
6,20,0.0021146313529696453,0.0064554714548927805,0.004340840101923135,0.39686015746854286,0.0008392129317274513
