microstate,n_cells,latent_1,latent_2,quasi_potential_mean,quasi_potential_median,donor_count,disease_axis_mean,frac_ND,frac_T2D
0,51,2.2415326033983582,0.2408009369844392,0.7852771034513379,0.5682744171025913,10,-1.6567548494428792,0.803921568627451,0.19607843137254902
1,64,-3.6231473421640072,-0.12808418013562622,1.492119190977983,1.322677072901107,6,2.8089893186379613,,1.0
2,68,3.3129689565718694,-0.29119439358117505,0.9463226936337835,0.8264700417005209,10,-2.4274580137812536,0.8823529411764706,0.11764705882352941
3,85,1.9217848708627296,0.7646611640485388,0.7090787509215384,0.5571791554761756,11,-1.445945205347794,0.8,0.2
4,41,-7.697834894913223,-2.8423626448999384,3.326536677232905,3.2850894023193566,7,5.4636495096875075,0.024390243902439025,0.975609756097561
5,63,-1.801279435645752,0.8687939664123827,1.121595473092642,0.8621424706711256,11,1.4565319074500962,0.23809523809523808,0.7619047619047619
6,76,2.297919953326301,0.3904147258414337,0.6960693849103611,0.5950732207545228,11,-1.7879380560029372,0.8026315789473685,0.19736842105263158
7,71,4.602367558335495,-0.811541380500902,1.0313591918077398,0.9434425472585231,10,-3.592206461921941,0.8873239436619719,0.11267605633802817
8,77,-2.1593176465668282,1.167294896535405,1.0081914582334306,0.8522331743210616,12,1.7247091628706221,0.24675324675324675,0.7532467532467533
9,36,-5.647843499963205,-1.0274070475181953,2.210775680590785,2.2279964420629508,7,4.18028953086096,0.05555555555555555,0.9444444444444444
10,81,0.007802984145503473,1.0803082659039607,0.9104158668709742,0.7614439139488836,12,0.09585089009389837,0.48148148148148145,0.5185185185185185
11,66,-3.261453343535502,0.4126094308105658,1.2559565163107085,1.2300511772145541,10,2.5783917333004074,0.12121212121212122,0.8787878787878788
12,72,-1.6820680174698392,0.9428760834667985,1.045568716385817,0.8434582395003973,12,1.3792606998316432,0.2361111111111111,0.7638888888888888
13,43,-4.44868869747213,-0.6669997116630282,1.7057424212821923,1.4383509837329473,9,3.426513546203894,0.09302325581395349,0.9069767441860465
14,26,-2.114678347021811,0.3781087403798575,1.284837646929503,0.9058509359737661,7,1.7436268833596995,0.07692307692307693,0.9230769230769231
15,12,-10.516988472479566,-6.106926711947665,5.428316195220163,5.51602677004277,5,7.354587456031712,,1.0
16,76,4.908903112919065,-1.1284453614971923,1.2178043865166739,1.162700006122757,9,-3.8058611721916726,0.9342105263157895,0.06578947368421052
17,79,0.15006466591899212,0.9342474974022018,0.9233443362393396,0.7248317654544207,12,-0.03699110776505236,0.46835443037974683,0.5316455696202531
18,45,-4.796554476025225,0.20507524151180803,1.711682075983132,1.5319429167579566,11,3.4770643707429687,0.17777777777777778,0.8222222222222222
19,65,3.6349846703122224,-0.051066265681874265,0.953378149403346,0.8186528736112475,9,-2.9114880634831604,0.9076923076923077,0.09230769230769231
20,63,0.5301655748791458,0.9902410960429865,0.8927201819699201,0.7270433930605673,12,-0.3602655695406371,0.6349206349206349,0.36507936507936506
21,67,0.38381831516736686,0.8348279545130208,0.9579630813155148,0.7229598700063136,12,-0.13246253731221744,0.5074626865671642,0.4925373134328358
22,39,-5.5704695105322,-0.9482459980140155,2.0316090732908796,2.0928702668880517,7,4.092329533992718,0.02564102564102564,0.9743589743589743
23,74,6.58357371647763,-2.4081563099827483,2.0950374855306464,1.7931094490030732,7,-5.090528162932723,0.9459459459459459,0.05405405405405406
